school,sex,age,address,famsize,Pstatus,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,averageG,Pedu
GP,F,0.33333333333333304,U,GT3,T,at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,0.0625,9,11,11,0.30000000000000004,1.0
GP,F,0.0,U,LE3,T,at_home,other,other,mother,1,2,0,yes,no,no,no,yes,yes,yes,no,4,3,2,2,3,3,0.1875,12,13,12,0.6000000000000001,1.0
GP,F,0.0,U,GT3,T,health,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,3,2,2,1,1,5,0.0,14,14,14,0.8500000000000003,3.0
GP,F,0.16666666666666652,U,GT3,T,other,other,home,father,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,2,1,2,5,0.0,11,13,13,0.6000000000000001,3.0
GP,M,0.16666666666666652,U,LE3,T,services,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,2,1,2,5,0.1875,12,12,13,0.6000000000000001,3.5
GP,M,0.16666666666666652,U,LE3,T,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0.0,13,12,13,0.6499999999999999,2.0
GP,F,0.33333333333333304,U,GT3,A,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,0.0625,10,13,13,0.55,4.0
GP,M,0.0,U,GT3,T,other,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,5,1,1,1,5,0.0,12,12,13,0.6000000000000001,3.5
GP,F,0.0,U,GT3,T,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,3,3,3,1,2,2,0.0625,14,14,14,0.8500000000000003,4.0
GP,F,0.0,U,GT3,T,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,0.0,10,12,13,0.5,1.5
GP,M,0.0,U,LE3,T,health,services,course,father,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,3,5,0.0,12,13,12,0.6000000000000001,4.0
GP,M,0.0,U,GT3,T,teacher,other,course,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,5,4,3,1,2,3,0.0,12,12,13,0.6000000000000001,3.5
GP,M,0.0,U,GT3,A,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0.0,14,14,15,0.9000000000000001,2.0
GP,F,0.16666666666666652,U,GT3,T,services,services,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,3,2,3,1,2,2,0.3125,13,13,14,0.7500000000000002,4.0
GP,F,0.16666666666666652,U,GT3,T,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,0.0625,13,14,14,0.8,3.0
GP,M,0.16666666666666652,U,LE3,T,health,other,home,father,1,1,0,no,no,no,yes,yes,yes,yes,no,3,1,3,1,3,5,0.1875,12,12,12,0.55,3.5
GP,M,0.0,U,GT3,T,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0.0,12,13,14,0.7,3.5
GP,M,0.0,U,GT3,T,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0.0,11,12,12,0.5,4.0
GP,M,0.16666666666666652,U,LE3,T,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,0.0,12,13,14,0.7,3.0
GP,M,0.16666666666666652,U,LE3,T,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,0.0625,10,10,10,0.25,2.0
GP,F,0.0,R,GT3,T,services,health,course,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,0.0625,10,11,10,0.30000000000000004,3.0
GP,F,0.16666666666666652,U,GT3,T,services,services,home,mother,1,1,0,no,yes,no,no,no,yes,yes,no,1,2,2,1,3,5,0.1875,10,11,12,0.40000000000000013,2.0
GP,M,0.0,U,GT3,T,other,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,2,5,0.25,11,12,12,0.5,2.0
GP,M,0.0,U,GT3,T,health,services,other,mother,1,1,0,no,no,no,no,yes,yes,yes,no,2,2,4,2,4,1,0.0,11,11,11,0.40000000000000013,3.0
GP,M,0.16666666666666652,U,LE3,A,services,other,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,0.0625,12,12,13,0.6000000000000001,3.5
GP,M,0.16666666666666652,U,GT3,T,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,0.125,12,11,12,0.5,4.0
GP,M,0.0,U,GT3,T,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0.0,10,11,11,0.34999999999999987,4.0
GP,M,0.0,U,GT3,T,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,0.0625,15,15,15,1.0000000000000002,4.0
GP,M,0.0,R,GT3,T,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0.0,13,14,15,0.8500000000000003,3.5
GP,M,0.0,U,LE3,T,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0.0,13,12,12,0.6000000000000001,3.0
GP,M,0.16666666666666652,U,GT3,T,other,other,home,mother,1,1,0,no,yes,no,no,no,yes,yes,no,5,4,3,1,1,5,0.125,12,12,12,0.55,2.5
GP,F,0.0,U,GT3,T,other,other,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,0.125,11,11,11,0.40000000000000013,2.5
GP,M,0.0,U,LE3,T,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,0.0,14,14,14,0.8500000000000003,3.5
GP,M,0.16666666666666652,R,GT3,A,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,0.125,13,13,13,0.7,4.0
GP,F,0.0,R,GT3,T,services,health,course,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,0.0625,11,12,12,0.5,3.5
GP,F,0.0,R,GT3,T,at_home,other,reputation,mother,1,1,0,yes,yes,no,yes,yes,yes,no,no,4,3,1,1,1,2,0.25,14,13,12,0.7,2.0
GP,F,0.16666666666666652,U,LE3,T,other,other,home,mother,2,2,0,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,0.5,11,11,10,0.34999999999999987,2.0
GP,M,0.0,U,LE3,T,teacher,other,home,other,1,1,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,0.25,10,11,11,0.34999999999999987,4.0
GP,M,0.0,U,GT3,T,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,0.0,14,15,15,0.95,4.0
GP,M,0.0,U,GT3,T,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0.0,9,10,10,0.19999999999999996,2.0
GP,F,0.16666666666666652,U,LE3,T,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,0.4375,10,11,11,0.34999999999999987,2.0
GP,F,0.0,U,LE3,A,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,0.125,10,11,11,0.34999999999999987,3.5
GP,F,0.16666666666666652,U,LE3,A,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,0.1875,13,12,13,0.6499999999999999,3.0
GP,M,0.0,U,GT3,T,teacher,other,home,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,3,2,2,5,0.125,11,12,13,0.55,3.0
GP,F,0.0,U,GT3,T,services,teacher,other,father,1,2,0,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,0.0625,13,12,12,0.6000000000000001,4.0
GP,F,0.16666666666666652,U,LE3,T,services,services,course,mother,3,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,2,3,4,0.0,14,13,13,0.7500000000000002,2.0
GP,M,0.0,U,LE3,A,health,health,other,father,2,1,0,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,0.125,10,9,9,0.15000000000000013,3.0
GP,F,0.0,U,GT3,T,services,services,course,mother,1,1,0,yes,yes,no,no,yes,yes,yes,no,3,3,4,2,3,5,0.0,13,12,12,0.6000000000000001,4.0
GP,F,0.0,U,LE3,A,other,other,other,mother,1,1,0,no,no,no,no,yes,yes,yes,no,5,3,4,4,4,1,0.0,13,12,13,0.6499999999999999,3.0
GP,F,0.16666666666666652,U,GT3,A,other,other,other,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,4,1,1,2,0.0625,12,13,12,0.6000000000000001,1.5
GP,F,0.0,U,GT3,A,services,services,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,1,0.0,15,14,15,0.95,3.5
GP,M,0.0,U,LE3,T,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,0.0,14,13,14,0.8,1.5
GP,F,0.16666666666666652,U,GT3,T,services,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,0.0,10,10,16,0.55,1.0
GP,F,0.16666666666666652,U,LE3,T,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,0.0,13,13,10,0.55,1.5
GP,F,0.16666666666666652,U,GT3,T,teacher,health,home,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,3,4,4,2,4,4,0.0,14,13,13,0.7500000000000002,3.5
GP,F,0.0,U,LE3,T,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0.0,13,12,12,0.6000000000000001,3.5
GP,M,0.0,U,GT3,A,other,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,0.0,11,12,12,0.5,4.0
GP,F,0.16666666666666652,U,GT3,T,services,other,course,mother,1,4,0,yes,yes,no,no,yes,yes,yes,no,4,3,3,1,2,5,0.0,10,9,10,0.19999999999999996,2.0
GP,F,0.0,R,LE3,T,health,services,reputation,mother,2,2,0,yes,yes,no,no,yes,yes,yes,no,4,1,3,1,3,4,0.0,11,10,11,0.34999999999999987,2.0
GP,F,0.0,R,LE3,T,other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,0.1875,15,15,15,1.0000000000000002,2.0
GP,M,0.16666666666666652,U,GT3,T,other,other,reputation,father,2,4,0,no,yes,no,no,yes,yes,yes,no,4,3,2,1,1,5,0.0625,13,11,11,0.5,2.0
GP,M,0.0,U,GT3,T,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0.0,11,9,10,0.25,3.0
GP,F,0.0,R,GT3,T,other,other,reputation,mother,1,2,0,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,0.0625,13,11,11,0.5,1.0
GP,M,0.16666666666666652,U,GT3,T,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,0.0,13,13,14,0.7500000000000002,2.0
GP,F,0.16666666666666652,U,GT3,T,other,services,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,3,2,4,5,0.125,11,11,11,0.40000000000000013,3.0
GP,M,0.0,U,GT3,T,teacher,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,2,3,5,0.0,11,11,11,0.40000000000000013,3.5
GP,M,0.0,U,GT3,T,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,0.0,12,11,11,0.4500000000000002,2.0
GP,F,0.16666666666666652,U,GT3,T,other,other,reputation,mother,1,4,0,no,no,no,no,yes,yes,yes,yes,5,2,3,1,3,3,0.03125,13,13,13,0.7,2.0
GP,M,0.33333333333333304,U,GT3,T,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,0.0,9,9,10,0.15000000000000013,1.5
GP,F,0.16666666666666652,U,GT3,T,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,0.4375,12,11,11,0.4500000000000002,3.5
GP,M,0.0,U,GT3,T,other,services,course,father,1,1,0,yes,yes,no,yes,no,yes,yes,yes,3,2,2,1,3,3,0.0,11,11,12,0.4500000000000002,2.5
GP,M,0.0,U,GT3,T,other,other,home,mother,1,3,0,yes,no,no,no,no,yes,yes,no,5,3,2,1,2,5,0.0625,10,9,9,0.15000000000000013,2.5
GP,F,0.0,U,LE3,T,services,other,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,1,5,0.125,12,11,11,0.4500000000000002,2.5
GP,M,0.0,U,LE3,T,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,0.0625,13,12,13,0.6499999999999999,2.0
GP,F,0.0,U,GT3,T,other,other,home,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,0.0625,13,12,12,0.6000000000000001,1.0
GP,F,0.0,U,GT3,T,services,services,reputation,father,2,2,0,no,no,no,no,yes,yes,yes,yes,4,4,4,2,3,5,0.125,12,11,12,0.5,4.0
GP,F,0.16666666666666652,U,LE3,T,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,0.1875,13,11,11,0.5,2.0
GP,F,0.0,U,GT3,T,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,0.125,15,15,15,1.0000000000000002,3.0
GP,M,0.16666666666666652,U,GT3,T,services,other,reputation,father,2,2,0,no,no,no,yes,no,yes,yes,no,4,4,2,1,1,3,0.1875,12,10,11,0.40000000000000013,2.0
GP,M,0.16666666666666652,U,LE3,A,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,0.1875,9,9,10,0.15000000000000013,4.0
GP,F,0.16666666666666652,U,GT3,T,other,other,home,mother,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,3,3,1,3,4,0.0625,9,11,11,0.30000000000000004,3.0
GP,F,0.0,U,GT3,T,services,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,4,5,5,1,3,1,0.1875,14,13,13,0.7500000000000002,3.5
GP,F,0.16666666666666652,U,LE3,T,other,other,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,0.0,12,13,12,0.6000000000000001,2.0
GP,F,0.16666666666666652,U,GT3,T,teacher,services,home,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,1,0.0625,13,14,14,0.8,3.0
GP,M,0.0,U,LE3,T,services,health,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,0.0625,11,12,12,0.5,2.0
GP,F,0.0,R,GT3,T,at_home,other,home,mother,2,4,0,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,0.125,13,13,13,0.7,1.0
GP,M,0.16666666666666652,R,GT3,T,services,other,reputation,mother,2,1,0,yes,yes,yes,yes,no,yes,yes,no,3,3,3,1,1,4,0.1875,9,11,11,0.30000000000000004,3.5
GP,F,0.16666666666666652,U,GT3,T,other,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,yes,4,3,5,1,1,5,0.0,13,12,12,0.6000000000000001,1.5
GP,F,0.16666666666666652,U,GT3,T,other,other,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,0.125,12,13,13,0.6499999999999999,4.0
GP,F,0.16666666666666652,U,GT3,T,other,at_home,course,mother,1,3,0,yes,yes,no,no,yes,yes,yes,no,5,3,5,1,1,3,0.0625,12,13,13,0.6499999999999999,3.5
GP,M,0.16666666666666652,U,GT3,T,services,services,other,mother,1,1,0,yes,yes,no,yes,yes,yes,yes,no,4,5,5,5,5,4,0.375,9,9,8,0.04999999999999982,4.0
GP,M,0.0,U,GT3,T,services,other,course,mother,1,1,0,no,yes,yes,yes,no,yes,yes,no,5,3,3,1,1,5,0.0625,12,13,12,0.6000000000000001,4.0
GP,F,0.0,U,GT3,T,services,other,home,mother,2,2,0,yes,yes,no,no,yes,yes,yes,no,4,3,5,1,1,2,0.5,11,10,10,0.30000000000000004,2.5
GP,F,0.0,U,GT3,A,other,health,reputation,father,1,4,0,yes,no,no,no,yes,yes,no,no,4,3,3,1,1,4,0.3125,10,10,10,0.25,3.0
GP,F,0.0,U,GT3,T,other,other,course,mother,1,4,0,yes,yes,no,no,yes,yes,yes,no,5,1,2,1,1,3,0.125,10,10,10,0.25,2.0
GP,M,0.16666666666666652,U,GT3,T,services,other,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,0.125,13,14,14,0.8,3.0
GP,M,0.0,R,GT3,T,other,other,home,father,4,4,0,no,yes,no,yes,yes,yes,yes,yes,1,3,5,3,5,1,0.25,12,10,11,0.40000000000000013,4.0
GP,F,0.16666666666666652,U,LE3,T,health,health,other,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,5,4,5,1,1,4,0.0625,15,15,14,0.95,4.0
GP,M,0.0,U,LE3,A,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,5,3,1,1,4,0.125,13,14,14,0.8,4.0
GP,F,0.16666666666666652,R,GT3,T,services,other,reputation,father,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4,1,2,1,1,2,0.125,11,11,11,0.40000000000000013,3.0
GP,F,0.16666666666666652,U,GT3,T,at_home,other,home,mother,1,2,1,yes,no,no,yes,yes,yes,yes,no,3,1,2,1,1,5,0.375,8,10,10,0.15000000000000013,2.0
GP,M,0.0,R,GT3,T,health,services,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,1,1,5,0.125,10,9,10,0.19999999999999996,1.5
GP,M,0.16666666666666652,U,GT3,T,teacher,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,2,5,0.1875,16,14,14,0.95,4.0
GP,M,0.16666666666666652,U,GT3,T,other,services,home,father,2,1,0,no,no,no,yes,yes,yes,yes,no,5,4,2,1,1,5,0.1875,14,14,15,0.9000000000000001,3.0
GP,M,0.33333333333333304,R,GT3,T,other,other,course,father,3,2,1,no,yes,no,yes,yes,yes,yes,no,5,2,4,1,4,5,0.4375,12,11,11,0.4500000000000002,2.0
GP,M,0.0,U,GT3,T,other,other,reputation,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,4,3,1,2,4,0.0625,14,13,14,0.8,3.5
GP,F,0.0,U,GT3,T,at_home,services,course,mother,1,2,0,no,no,no,no,no,yes,yes,no,3,2,3,1,2,1,0.0,14,14,14,0.8500000000000003,1.5
GP,M,0.0,U,GT3,T,services,services,home,father,1,4,0,no,yes,no,yes,yes,yes,yes,no,5,5,4,1,2,5,0.1875,14,13,13,0.7500000000000002,2.0
GP,F,0.16666666666666652,U,LE3,T,other,health,course,father,2,2,0,no,yes,no,yes,yes,yes,yes,yes,4,2,2,1,2,5,0.0625,14,12,13,0.7,3.0
GP,M,0.16666666666666652,U,GT3,T,health,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,3,4,4,1,4,5,0.125,12,13,13,0.6499999999999999,4.0
GP,F,0.16666666666666652,U,GT3,T,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,5,4,4,1,1,5,0.0,12,11,11,0.4500000000000002,2.0
GP,M,0.0,U,GT3,T,services,services,home,father,1,1,0,yes,no,no,no,yes,yes,yes,no,5,5,5,3,2,5,0.0625,9,9,9,0.09999999999999987,3.5
GP,F,0.0,U,LE3,A,other,other,home,mother,1,2,0,yes,no,no,yes,yes,yes,yes,yes,5,3,2,1,1,1,0.0,10,11,11,0.34999999999999987,3.5
GP,F,0.6666666666666665,U,GT3,T,at_home,other,course,other,1,2,2,no,yes,no,no,no,no,no,no,3,4,2,1,1,5,0.0,9,10,11,0.25,0.5
GP,M,0.16666666666666652,R,GT3,T,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,3,5,5,2,5,4,0.25,14,14,15,0.9000000000000001,4.0
GP,M,0.16666666666666652,U,GT3,T,other,other,course,mother,2,3,0,no,yes,no,no,no,yes,yes,yes,3,2,3,2,2,1,0.125,13,12,13,0.6499999999999999,2.5
GP,F,0.0,R,GT3,T,services,teacher,course,father,2,3,0,no,yes,no,no,yes,yes,yes,yes,4,2,2,2,2,5,0.0,10,11,12,0.40000000000000013,3.5
GP,F,0.5,U,GT3,T,services,other,reputation,mother,1,2,3,no,yes,no,yes,yes,no,yes,yes,5,4,5,1,3,5,0.3125,10,9,8,0.09999999999999987,1.5
GP,F,0.33333333333333304,U,LE3,A,other,other,course,mother,3,1,0,no,yes,no,no,yes,yes,yes,no,3,2,2,1,2,5,0.25,11,10,11,0.34999999999999987,1.5
GP,F,0.0,U,GT3,T,at_home,other,course,mother,3,1,0,no,yes,no,yes,no,yes,yes,yes,4,3,3,1,2,4,0.1875,11,12,13,0.55,1.0
GP,F,0.33333333333333304,U,LE3,T,other,other,course,father,1,1,0,no,yes,no,no,yes,yes,yes,yes,3,4,4,1,3,5,0.0625,13,12,12,0.6000000000000001,2.0
GP,F,0.16666666666666652,U,GT3,A,services,other,course,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,2,1,1,4,5,0.375,15,13,14,0.8500000000000003,3.5
GP,M,0.16666666666666652,U,GT3,T,at_home,other,course,mother,4,1,0,no,no,no,no,yes,yes,no,no,3,2,1,1,1,2,0.125,9,9,11,0.19999999999999996,1.5
GP,F,0.16666666666666652,U,GT3,A,other,other,home,mother,1,1,1,no,no,no,no,yes,yes,no,no,5,3,4,1,1,5,0.375,13,11,11,0.5,2.0
GP,M,0.0,R,GT3,T,at_home,teacher,course,mother,4,2,0,no,yes,no,no,yes,yes,no,yes,5,3,3,1,1,5,0.0625,12,11,11,0.4500000000000002,3.5
GP,F,0.0,U,GT3,T,services,at_home,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,1,1,5,0.125,13,14,15,0.8500000000000003,4.0
GP,M,0.33333333333333304,R,GT3,T,at_home,other,course,mother,3,2,0,no,no,no,no,yes,yes,no,no,5,4,5,2,4,5,0.0625,10,9,10,0.19999999999999996,3.5
GP,F,0.16666666666666652,R,GT3,T,at_home,other,course,mother,4,2,0,no,yes,no,no,yes,yes,no,no,5,1,3,1,1,3,0.0,14,13,13,0.7500000000000002,1.0
GP,M,0.5,U,LE3,T,services,services,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,yes,3,3,4,4,5,4,0.0625,11,11,12,0.4500000000000002,2.0
